# opusid, pds_location, start_time, obs_name
co-vims-v1516019341_ir, COVIMS_0010/data/2006015T115559_2006015T120338/v1516019341_1.qub, 2006-01-15T11:59:31.232, VIMS_020TI_SOLAROCC002
co-vims-v1516019348_ir, COVIMS_0010/data/2006015T115559_2006015T120338/v1516019348_1.qub, 2006-01-15T11:59:38.534, VIMS_020TI_SOLAROCC002
co-vims-v1516019355_ir, COVIMS_0010/data/2006015T115559_2006015T120338/v1516019355_1.qub, 2006-01-15T11:59:45.812, VIMS_020TI_SOLAROCC002
co-vims-v1516019363_ir, COVIMS_0010/data/2006015T115559_2006015T120338/v1516019363_1.qub, 2006-01-15T11:59:53.091, VIMS_020TI_SOLAROCC002
co-vims-v1516019370_ir, COVIMS_0010/data/2006015T115559_2006015T120338/v1516019370_1.qub, 2006-01-15T12:00:00.369, VIMS_020TI_SOLAROCC002
co-vims-v1516019377_ir, COVIMS_0010/data/2006015T115559_2006015T120338/v1516019377_1.qub, 2006-01-15T12:00:07.666, VIMS_020TI_SOLAROCC002
co-vims-v1516019384_ir, COVIMS_0010/data/2006015T115559_2006015T120338/v1516019384_1.qub, 2006-01-15T12:00:14.944, VIMS_020TI_SOLAROCC002
co-vims-v1516019392_ir, COVIMS_0010/data/2006015T115559_2006015T120338/v1516019392_1.qub, 2006-01-15T12:00:22.226, VIMS_020TI_SOLAROCC002
co-vims-v1516019399_ir, COVIMS_0010/data/2006015T115559_2006015T120338/v1516019399_1.qub, 2006-01-15T12:00:29.522, VIMS_020TI_SOLAROCC002
co-vims-v1516019406_ir, COVIMS_0010/data/2006015T115559_2006015T120338/v1516019406_1.qub, 2006-01-15T12:00:36.801, VIMS_020TI_SOLAROCC002
co-vims-v1516019414_ir, COVIMS_0010/data/2006015T115559_2006015T120338/v1516019414_1.qub, 2006-01-15T12:00:44.079, VIMS_020TI_SOLAROCC002
co-vims-v1516019421_ir, COVIMS_0010/data/2006015T115559_2006015T120338/v1516019421_1.qub, 2006-01-15T12:00:51.382, VIMS_020TI_SOLAROCC002
co-vims-v1516019428_ir, COVIMS_0010/data/2006015T115559_2006015T120338/v1516019428_1.qub, 2006-01-15T12:00:58.660, VIMS_020TI_SOLAROCC002
co-vims-v1516019435_ir, COVIMS_0010/data/2006015T115559_2006015T120338/v1516019435_1.qub, 2006-01-15T12:01:05.939, VIMS_020TI_SOLAROCC002
co-vims-v1516019443_ir, COVIMS_0010/data/2006015T115559_2006015T120338/v1516019443_1.qub, 2006-01-15T12:01:13.217, VIMS_020TI_SOLAROCC002
co-vims-v1516019450_ir, COVIMS_0010/data/2006015T115559_2006015T120338/v1516019450_1.qub, 2006-01-15T12:01:20.519, VIMS_020TI_SOLAROCC002
